,HepG2_xenograft_CTL_1,HepG2_xenograft_CTL_2,HepG2_xenograft_CTL_3,HepG2_xenograft_CTL_4,HepG2_xenograft_CTL_5,HepG2_xenograft_DKD_1,HepG2_xenograft_DKD_2,HepG2_xenograft_DKD_3,HepG2_xenograft_DKD_4,HepG2_xenograft_DKD_5
TRAJ39,0,0,0,0,0,0,0,0,0,0
TRAJ4,0,0,0,0,0,0,0,0,0,0
TRAJ40,0,0,0,0,0,0,0,0,0,0
TRAJ41,0,0,0,0,0,0,0,0,0,0
TRAJ42,0,0,0,0,0,0,0,0,0,0
TRAJ43,0,0,0,0,0,0,0,0,0,0
TRAJ44,0,0,0,0,0,0,0,0,0,0
TRAJ45,0,0,0,0,0,0,0,0,0,0
TRAJ46,0,0,0,0,0,0,0,0,0,0
TRAJ47,0,0,0,0,0,0,0,0,0,0
TRAJ48,0,0,0,0,0,0,0,0,0,0
TRAJ49,0,0,0,0,0,0,0,0,0,0
TRAJ5,0,0,0,0,0,0,0,0,0,0
TRAJ50,0,0,0,0,0,0,0,0,0,0
TRAJ51,0,0,0,0,0,0,0,0,0,0
TRAJ52,0,0,0,0,0,0,0,0,0,0
TRAJ53,0,0,0,0,0,0,0,0,0,0
TRAJ54,0,0,0,0,0,0,0,0,0,0
TRAJ55,0,0,0,0,0,0,0,0,0,0
TRAJ56,0,0,0,0,0,0,0,0,0,0
TRAJ57,0,0,0,0,0,0,0,0,0,0
TRAJ58,0,0,0,0,0,0,0,0,0,0
TRAJ59,0,0,0,0,0,0,0,0,0,0
TRAJ6,0,0,0,0,0,0,0,0,0,0
TRAJ60,0,0,0,0,0,0,0,0,0,0
TRAJ61,0,0,0,0,0,0,0,0,0,0
TRAJ7,0,0,0,0,0,0,0,0,0,0
TRAJ8,0,0,0,0,0,0,0,0,0,0
TRAJ9,0,0,0,0,0,0,0,0,0,0
TRAK1,1756.733807,1637.455251,1851.413795,1723.064321,1744.080745,1861.228329,1766.63459,1813.578869,1922.308847,1857.021846
TRAK2,879.826793,895.641469,890.9993641,943.8046012,969.5007068,1462.891608,1365.737055,1443.500275,1437.027376,1401.435055
TRAM1,4929.560516,6993.087628,5740.729624,5493.108359,5929.262217,5544.847157,5069.723367,5576.367505,5208.357665,4799.553868
TRAM1L1,1.946519454,3.036072776,1.036045772,1.034873466,2.04105412,7.966734421,4.795425054,2.906376393,4.951851744,4.815928023
TRAM2,3667.24265,4084.529908,4031.2541,3813.508723,4079.046658,3896.728974,3933.207629,3648.471165,4174.411021,3939.429123
TRANK1,15.57215563,11.13226685,33.15346471,16.55797546,22.45159532,23.90020326,17.26353019,21.31342688,13.86518488,24.07964012
TRAP1,11088.34807,10086.84579,9710.857023,10735.77734,8896.954907,11462.13915,9998.461237,11362.9629,11113.93606,11310.68855
TRAPPC1,1760.626846,1714.369094,1938.44164,1707.541219,1919.611399,1616.251246,1793.48897,1521.003646,1513.285893,1559.397494
TRAPPC10,2039.952387,2066.553536,1967.450921,1871.051227,1964.51459,1671.022545,1675.521514,1667.291257,1815.34885,1401.435055
TRAPPC11,1774.252482,2099.950337,1630.736045,1834.830656,1798.168679,1811.436239,1611.262818,1829.079543,1688.581445,1655.716054
TRAPPC12,1432.638318,1269.078421,1506.410553,1250.127147,1290.966731,1550.525687,1364.77797,1346.621062,1501.401449,1561.323865
TRAPPC13,344.5339433,361.2926604,350.183471,318.7410276,385.7592286,301.7400662,380.7567493,392.360813,311.9666599,326.51992
TRAPPC13P1,0,0,0,0,0,0,0,0,0,0
TRAPPC2,720.2121978,769.1384367,758.3855052,658.1795245,758.2516054,737.9187758,760.5544135,755.6578621,734.8547989,760.9166276
TRAPPC2B,208.2775815,258.066186,255.9033057,270.1019747,233.7006967,249.9562925,281.0119081,256.7299147,221.8429581,265.8392269
TRAPPC2L,1697.364963,1475.531369,1714.655753,1669.250901,1706.321244,1352.353168,1674.562429,1506.471764,1464.757746,1377.355415
TRAPPC2P10,0,0,0,0,0,0,0,0,0,0
TRAPPC2P2,0,0,0,0,0,0,0,0,0,0
TRAPPC2P3,0,0,0,0,0,0,0,0,0,0
TRAPPC2P4,0,0,0,0,0,0,0,0,0,0
TRAPPC2P5,0,0,0,0,0,0,0,0,0,0
TRAPPC2P7,0,0,0,0,0,0,0,0,0,0
TRAPPC2P8,0,0,0,0,0,0,0,0,0,0
TRAPPC2P9,0,0,0,0,0,0,0,0,0,0
TRAPPC3,1621.450705,1657.695736,1723.980165,1617.507228,1871.646628,1510.692015,1865.420346,1625.633196,1791.579961,1624.894115
TRAPPC3L,6.812818087,18.21643666,16.57673236,16.55797546,13.26685178,22.90436146,14.38627516,18.40705049,11.88444419,27.93238253
TRAPPC4,2341.662903,2232.525515,2271.012333,2582.009298,2188.010016,1917.991312,2053.401008,1923.05238,2066.902918,1898.438827
TRAPPC5,571.3034596,495.8918868,499.3740622,436.7166028,414.3339863,499.9125849,573.5328364,484.3960654,562.5303582,654.9662111
TRAPPC6A,244.2881914,212.5250943,207.2091544,226.6372891,217.3722637,272.8606539,235.9349126,202.4775554,189.1607366,265.8392269
TRAPPC6B,858.415079,991.7837736,843.3412586,876.5378259,877.6532714,994.8459609,867.0128497,931.0092378,928.9673873,931.4004797
TRAPPC8,2070.123439,2525.000526,1966.414876,2231.187193,2171.681583,2357.157547,2378.530827,2559.54881,2167.920694,2094.92869
TRAPPC9,698.8004838,447.3147224,468.292689,486.3905291,560.2693558,359.4988908,389.3885144,457.2698858,369.4081401,415.1329956
TRARG1,0,0,0,0,0,0,0,0.968792131,0,0
TRAT1,0,0,0,0,0,0,0,0,0,0
TRAV1-1,0,0,0,0,0,0,0,0,0,0
TRAV1-2,0,0,0,0,0,0,0,0,0,0
TRAV10,0,0,0,0,0,0,0,0,0,0
TRAV11,0,0,0,0,0,0,0,0,0,0
TRAV12-1,0,0,0,0,0,0,0,0,0,0
TRAV12-2,0,0,0,0,0,0,0,0,0,0
TRAV12-3,0,0,0,0,0,0,0,0,0,0
TRAV13-1,0,0,0,0,0,0,0,0,0,0
TRAV13-2,0,0,0,0,0,0,0,0,0,0
TRAV14DV4,0,0,0,0,0,0,0,0,0,0
TRAV15,0,0,0,0,0,0,0,0,0,0
TRAV16,0,0,0,0,0,0,0,0,0,0
TRAV17,0,0,0,0,0,0,0,0,0,0
TRAV18,0,0,0,0,0,0,0,0,0,0
TRAV19,0,0,0,0,0,0,0,0,0,0
TRAV2,0,0,0,0,0,0,0,0,0,0
TRAV20,0,0,0,0,0,0,0,0,0,0
TRAV21,0,0,0,0,0,0,0,0,0,0
TRAV22,0,0,0,0,0,0,0,0,0,0
TRAV23DV6,0,0,0,0,0,0,0,0,0,0
TRAV24,0,0,0,0,0,0,0,0,0,0
TRAV25,0,0,0,0,0,0,0,0,0,0
TRAV26-1,0,0,0,0,0,0,0,0,0,0
TRAV26-2,0,0,0,0,0,0,0,0,0,0
TRAV27,0,0,0,0,0,0,0,0,0,0
TRAV28,0,0,0,0,0,0,0,0,0,0
TRAV29DV5,0,0,0,0,0,0,0,0,0,0
TRAV3,0,0,0,0,0,0,0,0,0,0
TRAV30,0,1.012024259,0,0,0,0,0,0,0,0
TRAV31,0,0,0,0,0,0,0,0,0,0
TRAV32,0,0,0,0,0,0,0,0,0,0
TRAV33,0,0,0,0,0,0,0,0,0,0
TRAV34,0,0,0,0,0,0,0,0,0,0
TRAV35,0,0,0,0,0,0,0,0,0,0
TRAV36DV7,0,0,0,0,0,0,0,0,0,0
TRAV37,0,0,0,0,0,0,0,0,0,0
TRAV38-1,0,0,0,0,0,0,0,0,0,0
TRAV38-2DV8,0,0,0,0,0,0,0,0,0,0
TRAV39,0,0,0,0,0,0,0,0,0,0
TRAV4,0,0,0,0,0,0,0,0,0,0
TRAV40,0,0,0,0,0,0,0,0,0,0
TRAV41,0,0,0,0,0,0,0,0,0,0
TRAV5,0,0,0,0,0,0,0,0,0,0
TRAV6,0,0,0,0,0,0,0,0,0,0
TRAV7,0,0,0,0,0,0,0,0,0,0
TRAV8-1,0,0,0,0,0,0,0,0,0,0
TRAV8-2,0,0,0,0,0,0,0,0,0,0
TRAV8-3,0,0,0,0,0,0,0,0,0,0
TRAV8-4,0,0,0,0,0,0,0,0,0,0
TRAV8-5,0,0,0,0,0,0,0,0,0,0
TRAV8-6,0,0,0,0,0,0,0,0,0,0
TRAV8-7,0,0,0,0,0,0,0,0,0,0
TRAV9-1,0,0,0,0,0,0,0,0,0,0
TRAV9-2,0,0,0,0,0,0,0,0,0,0
TRBC1,0,4.048097035,2.072091544,4.139493865,5.102635299,0,4.795425054,0.968792131,0.990370349,0
TRBC2,0,0,0,0,0,0,0,0,0,0
TRBD1,0,0,0,0,0,0,0,0,0,0
TRBJ1-1,0,0,0,0,0,0,0,0,0,0
TRBJ1-2,0,0,0,0,0,0,0,0,0,0
TRBJ1-3,0,0,0,0,0,0,0,0,0,0
TRBJ1-4,0,0,0,0,0,0,0,0,0,0
TRBJ1-5,0,0,0,0,0,0,0,0,0,0
TRBJ1-6,0,0,0,0,0,0,0,0,0,0
TRBJ2-1,0,0,0,0,0,0,0,0,0,0
TRBJ2-2,0,0,0,0,0,0,0,0,0,0
TRBJ2-2P,0,0,0,0,0,0,0,0,0,0
TRBJ2-3,0,0,0,0,0,0,0,0,0,0
TRBJ2-4,0,0,0,0,0,0,0,0,0,0
TRBJ2-5,0,0,0,0,0,0,0,0,0,0
TRBJ2-6,0,0,0,0,0,0,0,0,0,0
TRBJ2-7,0,0,0,0,0,0,0,0,0,0
TRBV1,0,0,0,0,0,0,0,0,0,0
TRBV10-1,0,0,0,0,0,0,0,0,0,0
TRBV10-2,0,0,0,0,0,0,0,0,0,0
TRBV10-3,0,0,0,0,0,0,0,0,0,0
TRBV11-1,0,0,0,0,0,0,0,0,0,0
TRBV11-3,0,0,0,0,0,0,0,0,0,0
TRBV12-1,0,0,0,0,0,0,0,0,0,0
TRBV12-2,0,0,0,0,0,0,0,0,0,0
TRBV12-3,0,0,0,0,0,0,0,0,0,0
TRBV12-4,0,0,0,0,0,0,0,0,0,0
TRBV12-5,0,0,0,0,0,0,0,0,0,0
TRBV13,0,0,0,0,0,0,0,0,0,0
TRBV14,0,0,0,0,0,0,0,0,0,0
TRBV15,0,0,0,0,0,0,0,0,0,0
TRBV16,0,0,0,0,0,0,0,0,0,0
TRBV17,0,0,0,0,0,0,0,0,0,0
TRBV18,0,0,0,0,0,0,0,0,0,0
TRBV19,0,0,0,0,0,0,0,0,0,0
TRBV2,0,0,0,0,0,0,0,0,0,0
TRBV20-1,0,0,0,0,0,0,0,0,0,0
TRBV20OR9-2,0,0,0,0,1.02052706,0,0,0,0,0
TRBV21-1,0,0,0,0,0,0,0,0,0,0
TRBV21OR9-2,0,0,0,0,0,0,0,0,0,0
TRBV22-1,0,0,0,0,0,0,0,0,0,0
TRBV22OR9-2,0,0,0,0,0,0,0,0,0,0
TRBV23-1,0,0,0,0,0,0,0,0,0,0
TRBV23OR9-2,0,0,0,0,0,0,0,0,0,0
TRBV24-1,0,0,0,0,0,0,0,0,0,0
TRBV24OR9-2,0,0,0,0,0,0,0,0,0,0
TRBV25-1,0,0,0,0,0,0,0,0,0,0
TRBV25OR9-2,0,0,0,0,0,0,0,0,0,0
TRBV26,0,0,0,0,0,0,0,0,0,0
TRBV26OR9-2,0,0,0,0,0,0,0,0,0,0
TRBV27,0,0,0,0,0,0,0,0,0,0
TRBV28,0,0,0,0,0,0,0,0,0,0
TRBV29-1,0,0,0,0,0,0,0,0,0,0
TRBV29OR9-2,0,0,0,0,0,0,0,0,0,0
TRBV3-1,0,0,0,0,0,0,0,0,0,0
TRBV30,0,0,0,0,0,0,0,0,0,0
TRBV4-1,0,0,0,0,0,0,0,0,0,0
TRBV4-2,0,0,0,0,0,0,0,0,0,0
TRBV5-1,0,0,0,0,0,0,0,0,0,0
TRBV5-2,0,0,0,0,0,0,0,0,0,0
TRBV5-3,0,0,0,0,0,0,0,0,0,0
TRBV5-4,0,0,0,0,0,0,0,0,0,0
TRBV5-5,0,0,0,0,0,0,0,0,0,0
TRBV5-6,0,0,0,0,0,0,0,0,0,0
